1203 DEBUG  [main]  Spider  - End :td
1203 DEBUG  [main]  Spider  - Start :td
1203 DEBUG  [main]  Spider  - Start :font
1203 INFO  [main]  Spider  - a r/oi
1203 DEBUG  [main]  Spider  - End :a
1203 DEBUG  [main]  Spider  - End :font
1203 DEBUG  [main]  Spider  - End :td
1203 DEBUG  [main]  Spider  - End :tr
1203 DEBUG  [main]  Spider  - End :table
1203 DEBUG  [main]  Spider  - Start :table
1203 DEBUG  [main]  Spider  - Start :tr
1203 DEBUG  [main]  Spider  - Start :td
1203 DEBUG  [main]  Spider  - Simple Tag :spacer
1203 DEBUG  [main]  Spider  - End :td
1203 DEBUG  [main]  Spider  - End :tr
1203 DEBUG  [main]  Spider  - End :table
1203 DEBUG  [main]  Spider  - End :td
1203 DEBUG  [main]  Spider  - End :tr
1203 DEBUG  [main]  Spider  - End :table
1203 DEBUG  [main]  Spider  - End :td
1203 DEBUG  [main]  Spider  - End :tr
1203 DEBUG  [main]  Spider  - End :table
1203 DEBUG  [main]  Spider  - End :td
1219 DEBUG  [main]  Spider  - Start :td
1219 DEBUG  [main]  Spider  - Simple Tag :spacer
1219 DEBUG  [main]  Spider  - End :td
1219 DEBUG  [main]  Spider  - Start :td
1219 DEBUG  [main]  Spider  - Start :table
1219 DEBUG  [main]  Spider  - Start :tr
1219 DEBUG  [main]  Spider  - Start :td
1219 DEBUG  [main]  Spider  - Start :table
1219 DEBUG  [main]  Spider  - Start :tr
1219 DEBUG  [main]  Spider  - Start :td
1219 DEBUG  [main]  Spider  - Start :font
1219 DEBUG  [main]  Spider  - End :font
1219 DEBUG  [main]  Spider  - Start :b
1219 INFO  [main]  Spider  - a r/b9
1219 DEBUG  [main]  Spider  - Start :font
1219 DEBUG  [main]  Spider  - End :font
1219 DEBUG  [main]  Spider  - End :a
1219 DEBUG  [main]  Spider  - End :b
1219 DEBUG  [main]  Spider  - End :td
1219 DEBUG  [main]  Spider  - Start :td
1219 DEBUG  [main]  Spider  - Start :font
1219 DEBUG  [main]  Spider  - Start :b
1219 DEBUG  [main]  Spider  - End :b
1219 DEBUG  [main]  Spider  - End :font
1219 DEBUG  [main]  Spider  - Start :font
1219 DEBUG  [main]  Spider  - End :font
1219 DEBUG  [main]  Spider  - End :td
1219 DEBUG  [main]  Spider  - End :tr
1219 DEBUG  [main]  Spider  - End :table
1219 DEBUG  [main]  Spider  - Start :table
1219 DEBUG  [main]  Spider  - Start :tr
1219 DEBUG  [main]  Spider  - Start :td
1219 DEBUG  [main]  Spider  - Start :table
1219 DEBUG  [main]  Spider  - Start :tr
1219 DEBUG  [main]  Spider  - Start :td
1219 DEBUG  [main]  Spider  - Start :font
